,sd,sp,marginal_offer_BMU,marginal_bid_BMU,marginal_offer_intensity,marginal_bid_intensity
0,01/01/2020,1,E_ARNKB-1,T_EDINW-1,0,0
1,01/01/2020,2,T_HUMR-1,T_EDINW-1,342.5925926,0
2,01/01/2020,3,T_WBURB-3,T_PEHE-1,324.5614035,365
3,01/01/2020,4,T_WBURB-2,T_PEHE-1,324.5614035,365
4,01/01/2020,5,T_HUMR-1,T_PEHE-1,342.5925926,365
5,01/01/2020,6,T_COSO-1,T_PEHE-1,336.3636364,365
6,01/01/2020,7,T_PEHE-1,T_EDINW-1,365,0
7,01/01/2020,8,T_PEHE-1,T_PEHE-1,365,365
8,01/01/2020,9,T_HUMR-1,T_PEHE-1,342.5925926,365
9,01/01/2020,10,T_SPLN-1,T_PEHE-1,336.3636364,365
10,01/01/2020,11,T_PEMB-11,T_PEHE-1,318.9655172,365
11,01/01/2020,12,T_PEMB-11,T_PEHE-1,318.9655172,365
12,01/01/2020,13,T_PEMB-11,T_EDINW-1,318.9655172,0
13,01/01/2020,14,T_HUMR-1,T_EDINW-1,342.5925926,0
14,01/01/2020,15,T_SPLN-1,T_EDINW-1,336.3636364,0
15,01/01/2020,16,T_PEMB-51,T_EDINW-1,318.9655172,0
16,01/01/2020,17,T_PEMB-21,M_SLOY-1,318.9655172,0
17,01/01/2020,18,T_PEMB-21,M_SLOY-1,318.9655172,0
18,01/01/2020,19,T_PEHE-1,T_ERRO-2,365,0
19,01/01/2020,20,T_WBURB-3,T_ERRO-1,324.5614035,0
20,01/01/2020,21,T_MRWD-1,T_PEHE-1,318.9655172,365
21,01/01/2020,22,T_PEHE-1,T_EDINW-1,365,0
22,01/01/2020,23,T_PEHE-1,T_ERRO-1,365,0
23,01/01/2020,24,E_ARNKB-1,T_PEHE-1,0,365
24,01/01/2020,25,T_HUMR-1,T_GLNDO-1,342.5925926,0
25,01/01/2020,26,T_LAGA-1,T_PEHE-1,330.3571429,365
26,01/01/2020,27,T_EECL-1,T_PEHE-1,336.3636364,365
27,01/01/2020,28,T_EECL-1,T_PEHE-1,336.3636364,365
28,01/01/2020,29,T_LAGA-1,T_EDINW-1,330.3571429,0
29,01/01/2020,30,T_LAGA-1,T_PEHE-1,330.3571429,365
30,01/01/2020,31,E_ARNKB-1,T_PEHE-1,0,365
31,01/01/2020,32,T_LAGA-1,T_PEHE-1,330.3571429,365
32,01/01/2020,33,T_EECL-1,T_EDINW-1,336.3636364,0
33,01/01/2020,34,T_EECL-1,T_CRUA-1,336.3636364,477
34,01/01/2020,35,T_LAGA-1,T_PEHE-1,330.3571429,365
35,01/01/2020,36,T_LAGA-1,T_PEHE-1,330.3571429,365
36,01/01/2020,37,E_ARNKB-1,T_CRUA-1,0,477
37,01/01/2020,38,T_ROCK-1,T_PEHE-1,336.3636364,365
38,01/01/2020,39,E_LCHWT-1,T_PEHE-1,420.4545455,365
39,01/01/2020,40,T_COSO-1,T_PEHE-1,336.3636364,365
40,01/01/2020,41,T_COSO-1,T_SLOY-3,336.3636364,0
41,01/01/2020,42,T_HUMR-1,T_ERRO-1,342.5925926,0
42,01/01/2020,43,T_WBUPS-2,M_SLOY-1,760,0
43,01/01/2020,44,T_LAGA-1,T_EDINW-1,330.3571429,0
44,01/01/2020,45,T_DRAXX-3,M_SLOY-1,505,0
45,01/01/2020,46,T_DRAXX-3,M_SLOY-1,505,0
46,01/01/2020,47,T_COSO-1,T_BHLAW-1,336.3636364,0
47,01/01/2020,48,T_EECL-1,T_CGTHW-1,336.3636364,0
48,02/01/2020,1,T_COSO-1,E_CLAC-1,336.3636364,0
49,02/01/2020,2,T_EECL-1,T_ERRO-1,336.3636364,0
50,02/01/2020,3,T_COSO-1,T_PEHE-1,336.3636364,365
51,02/01/2020,4,T_DAMC-1,T_FARR-2,336.3636364,0
52,02/01/2020,5,T_COSO-1,T_GLNDO-1,336.3636364,0
53,02/01/2020,6,T_EECL-1,T_GLNDO-1,336.3636364,0
54,02/01/2020,7,T_EECL-1,T_EDINW-1,336.3636364,0
55,02/01/2020,8,T_SEAB-1,T_GRIFW-1,330.3571429,0
56,02/01/2020,9,T_WBURB-1,T_PEHE-1,324.5614035,365
57,02/01/2020,10,T_COSO-1,T_EDINW-1,336.3636364,0
58,02/01/2020,11,T_SHBA-2,T_GLNDO-1,355.7692308,0
59,02/01/2020,12,T_WBURB-1,M_SLOY-1,324.5614035,0
60,02/01/2020,13,T_SPLN-1,E_MOYEW-1,336.3636364,0
61,02/01/2020,14,T_SPLN-1,M_SLOY-1,336.3636364,0
62,02/01/2020,15,T_STAY-2,T_ERRO-2,324.5614035,0
63,02/01/2020,16,T_WBURB-1,T_GLNDO-1,324.5614035,0
64,02/01/2020,17,E_ARNKB-1,T_EDINW-1,0,0
65,02/01/2020,18,E_ARNKB-1,T_CGTHW-1,0,0
66,02/01/2020,19,T_DAMC-1,T_EDINW-1,336.3636364,0
67,02/01/2020,20,T_DAMC-1,M_SLOY-1,336.3636364,0
68,02/01/2020,21,T_DAMC-1,T_ERRO-1,336.3636364,0
69,02/01/2020,22,T_WBURB-1,M_SLOY-1,324.5614035,0
70,02/01/2020,23,T_FFES-4,M_SLOY-1,477,0
71,02/01/2020,24,T_DAMC-1,M_SLOY-1,336.3636364,0
72,02/01/2020,25,T_DAMC-1,M_SLOY-1,336.3636364,0
73,02/01/2020,26,T_DAMC-1,T_SLOY-3,336.3636364,0
74,02/01/2020,27,T_SPLN-1,T_PEHE-1,336.3636364,365
75,02/01/2020,28,T_GRAI-7,T_FARR-1,318.9655172,0
76,02/01/2020,29,E_LCHWT-1,M_SLOY-1,420.4545455,0
77,02/01/2020,30,E_TDRVE-1,T_STRNW-1,588,0
78,02/01/2020,31,T_HUMR-1,M_CAS-GAR01,342.5925926,0
79,02/01/2020,32,T_EECL-1,T_ERRO-2,336.3636364,0
80,02/01/2020,33,T_HUMR-1,M_CAS-KIL01,342.5925926,0
81,02/01/2020,34,T_HUMR-1,T_CGTHW-1,342.5925926,0
82,02/01/2020,35,T_DAMC-1,M_SLOY-1,336.3636364,0
