Type,BMU,Name,GSP region
GSP: Eastern,2__AAEPD000,Eastern GSP Group - AES New Energy Limited ,Eastern
GSP: Eastern,2__AAGSS000,Eastern GSP Group - TXU Europe (AH Online) Ltd ,Eastern
GSP: Eastern,2__AAHEL000,Eastern GSP Group - TXU Europe (AHST) Ltd ,Eastern
GSP: Eastern,2__AAHGL000,Eastern GSP Group - TXU Europe (AHG) Ltd ,Eastern
GSP: Eastern,2__AALAB000,Eastern GSP Group - Alabama Energy Limited ,Eastern
GSP: Eastern,2__AALAS000,Eastern GSP Group - Alaska Energy Limited ,Eastern
GSP: Eastern,2__AALBU000,Eastern GSP Group - Albuquerque Energy Limited ,Eastern
GSP: Eastern,2__AALTI000,Eastern GSP Group - Co-operative Energy Limited (ex GB Energy Supply Limited) ,Eastern
GSP: Eastern,2__AAMGD000,Eastern GSP Group - TXU Europe (AHGD) Ltd ,Eastern
GSP: Eastern,2__AAMPE000,Eastern GSP Group - Hudson Energy Supply UK Ltd ,Eastern
GSP: Eastern,2__AANGE000,Eastern GSP Group - Limejump Energy Limited ,Eastern
GSP: Eastern,2__AANGE001,Eastern GSP Group - Limejump Energy Limited ,Eastern
GSP: Eastern,2__AANGE002,Eastern GSP Group - Limejump Energy Limited ,Eastern
GSP: Eastern,2__AANGE003,Eastern GSP Group - Limejump Energy Limited ,Eastern
GSP: Eastern,2__AANGE004,Eastern GSP Group - Limejump Energy Limited ,Eastern
GSP: Eastern,2__AANRG000,Eastern GSP Group - Abingdon Energy Limited ,Eastern
GSP: Eastern,2__AAQES000,Eastern GSP Group - Aquila Energy Services ,Eastern
GSP: Eastern,2__AARIZ000,Eastern GSP Group - Arizona Energy Limited ,Eastern
GSP: Eastern,2__AARRU000,Eastern GSP Group - Arruzzi Energy Supply Ltd ,Eastern
GSP: Eastern,2__AAVRO000,Eastern GSP Group - AVRO ENERGY LIMITED ,Eastern
GSP: Eastern,2__AAXIS000,Eastern GSP Group - Axis Telecom Ltd ,Eastern
GSP: Eastern,2__AAXPO000,Eastern GSP Group - AXPO UK LIMITED ,Eastern
GSP: Eastern,2__AAZAC000,Eastern GSP Group - Azacca Energy Limited ,Eastern
GSP: Eastern,2__ABARB000,Eastern GSP Group - Barbican Power Limited ,Eastern
GSP: Eastern,2__ABAYS000,Eastern GSP Group - Bayswater Energy Limited ,Eastern
GSP: Eastern,2__ABCFC000,Eastern GSP Group - Gen4U Ltd ,Eastern
GSP: Eastern,2__ABELS000,Eastern GSP Group - Belsize Energy Limited ,Eastern
GSP: Eastern,2__ABERM000,Eastern GSP Group - British Energy Retail Market ,Eastern
GSP: Eastern,2__ABETH000,Eastern GSP Group - Mongoose Energy Supply Limited ,Eastern
GSP: Eastern,2__ABGAS000,Eastern GSP Group - British Gas Trading Ltd ,Eastern
GSP: Eastern,2__ABIZZ000,Eastern GSP Group - British Gas Trading Ltd (ex BizzEnergy Ltd) ,Eastern
GSP: Eastern,2__ABLBL000,Eastern GSP Group - Bluebell Energy Supply Ltd ,Eastern
GSP: Eastern,2__ABNRG000,Eastern GSP Group - Electricity Plus Supply Ltd ,Eastern
GSP: Eastern,2__ABORE000,Eastern GSP Group - Bor Energy Limited ,Eastern
GSP: Eastern,2__ABORO000,Eastern GSP Group - Borough Energy Limited ,Eastern
GSP: Eastern,2__ABOWF000,Eastern GSP Group - Bowfell Energy Limited ,Eastern
GSP: Eastern,2__ABPGM000,Eastern GSP Group - BP Gas Marketing Limited ,Eastern
GSP: Eastern,2__ABREZ000,Eastern GSP Group - Breeze Energy Supply Ltd ,Eastern
GSP: Eastern,2__ABRKG000,Eastern GSP Group - Brook Green Trading Limited ,Eastern
GSP: Eastern,2__ABRZE000,Eastern GSP Group - arto.energy Ltd ,Eastern
GSP: Eastern,2__ABULN000,Eastern GSP Group - Bryt Energy Limited ,Eastern
GSP: Eastern,2__ACALA000,Eastern GSP Group - California Energy Limited ,Eastern
GSP: Eastern,2__ACALI000,Eastern GSP Group - Callesti Energy Supply Limited ,Eastern
GSP: Eastern,2__ACALL000,Eastern GSP Group - Extra Energy Supply Limited ,Eastern
GSP: Eastern,2__ACBRA000,Eastern GSP Group - Cabra Energy Supply Ltd ,Eastern
GSP: Eastern,2__ACESL000,Eastern GSP Group - COMMERCIAL ELECTRICITY SUP LTD ,Eastern
GSP: Eastern,2__ACFWR000,Eastern GSP Group - OneSelect Ltd ,Eastern
GSP: Eastern,2__ACGEN000,Eastern GSP Group - Citigen London Ltd ,Eastern
GSP: Eastern,2__ACGTL000,Eastern GSP Group - Cinergy Global Trading Limited ,Eastern
GSP: Eastern,2__ACILI000,Eastern GSP Group - Cilleni Energy Supply Limited ,Eastern
GSP: Eastern,2__ACIRC000,Eastern GSP Group - Flow Energy Ltd ,Eastern
GSP: Eastern,2__ACIRC001,Eastern GSP Group - Flow Energy Ltd ,Eastern
GSP: Eastern,2__ACMRO000,Eastern GSP Group - Camaro Energy Supply Ltd ,Eastern
GSP: Eastern,2__ACNDL000,Eastern GSP Group - NEAS Energy Ltd ,Eastern
GSP: Eastern,2__ACNDL001,Eastern GSP Group - NEAS Energy Ltd. ,Eastern
GSP: Eastern,2__ACNRD000,Eastern GSP Group - Conrad Energy (Trading) Ltd ,Eastern
GSP: Eastern,2__ACNRG000,Eastern GSP Group - Opus Energy (Corporate) Ltd ,Eastern
GSP: Eastern,2__ACNRG001,Eastern GSP Group - Opus Energy (Corporate) Ltd ,Eastern
GSP: Eastern,2__ACNRG002,Eastern GSP Group - Opus Energy (Corporate) Ltd ,Eastern
