Type,BMU,Name,GSP region
CHP,2__DPGEN001,Sandbach CHP ,Merseyside and North Wales
CHP,2__DPGEN002,Stoke CHP ,Merseyside and North Wales
Battery,2__FRWED001,Rise Carr B ,North East England
Metalworks,2__JNATP001,Sheerness Steel (nPower Limited) ,South East England
Metalworks,2__JRWED001,Sheerness Steel (Gaz de France Marketing Ltd) ,South East England
Metalworks,2__JYELG001,Sheerness Steel (nPower Yorkshire Supply Ltd) ,South East England
Wind (Onshore),2__KLVDR001,Mynydd y Betws Windfarm ,South Wales
Battery,2__LRWED001,Lockleaze Battery ,South West England
CCGT,2__MPGEN001,Thornhill CCGT ,Yorkshire
CCGT,2__MPGEN002,Castleford CCGT ,Yorkshire
EfW,2__NSMAR001,Viridor Dunbar EFW ,South Scotland
Wind (Onshore),2__PENEC001,Rothes Windfarm ,North Scotland
Hydro,2__PMARB001,Lochaber Hydro ,North Scotland
Hydro,2__PMARB002,Kinlochleven Hydro ,North Scotland
Wind (Onshore),2__PPGEN001,Rothes (Cairn Uish) Wind Farm ,North Scotland
Wind (Onshore),2__PPGEN002,Pauls Hill Windfarm ,North Scotland
Wind (Onshore),2__PPGEN003,Camster Wind Farm ,North Scotland
Wind (Onshore),2__PSTAT001,Cairn Uish / Rothes Windfarm Extension ,North Scotland
Wind (Onshore),2__PSTAT002,Mid Hill Windfarm ,North Scotland
PV,C__AANGE002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AANGE009,Common Barn Wind Farm ,Eastern
PV,C__AAXPO002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AAXPO009,Common Barn Wind Farm ,Eastern
PV,C__ACNDL002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ACNDL009,Common Barn Wind Farm ,Eastern
PV,C__ACNRG002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ACNRG009,Common Barn Wind Farm ,Eastern
PV,C__ACOOP002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ACOOP009,Common Barn Wind Farm ,Eastern
PV,C__ACOUL002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ACOUL009,Common Barn Wind Farm ,Eastern
PV,C__AECOA002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AECOA009,Common Barn Wind Farm ,Eastern
PV,C__AECOT002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AECOT009,Common Barn Wind Farm ,Eastern
PV,C__AEMEB002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AEMEB009,Common Barn Wind Farm ,Eastern
PV,C__AENDC002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AENDC009,Common Barn Wind Farm ,Eastern
PV,C__AENEC002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AENEC009,Common Barn Wind Farm ,Eastern
PV,C__AENRD002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AENRD009,Common Barn Wind Farm ,Eastern
PV,C__AENRG002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AENRG009,Common Barn Wind Farm ,Eastern
PV,C__AFSEN002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AFSEN009,Common Barn Wind Farm ,Eastern
PV,C__AGANY002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AGANY009,Common Barn Wind Farm ,Eastern
PV,C__AGETW002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AGETW009,Common Barn Wind Farm ,Eastern
PV,C__AGMTR002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AGMTR009,Common Barn Wind Farm ,Eastern
PV,C__AGNRG002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AGNRG009,Common Barn Wind Farm ,Eastern
PV,C__AHAVE002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AHAVE009,Common Barn Wind Farm ,Eastern
PV,C__AHPOW002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AHPOW009,Common Barn Wind Farm ,Eastern
PV,C__AHUDS002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AHUDS009,Common Barn Wind Farm ,Eastern
PV,C__AHYDE002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AHYDE009,Common Barn Wind Farm ,Eastern
PV,C__AIMPO002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AIMPO009,Common Barn Wind Farm ,Eastern
PV,C__ALIGH002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ALIGH009,Common Barn Wind Farm ,Eastern
PV,C__ALIME002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ALIME009,Common Barn Wind Farm ,Eastern
PV,C__ALOND002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ALOND009,Common Barn Wind Farm ,Eastern
PV,C__AMAGN002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AMAGN009,Common Barn Wind Farm ,Eastern
PV,C__AMRCY002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AMRCY009,Common Barn Wind Farm ,Eastern
PV,C__ANATP002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ANATP009,Common Barn Wind Farm ,Eastern
PV,C__ANEWP002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ANEWP009,Common Barn Wind Farm ,Eastern
PV,C__AOXPO002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AOXPO009,Common Barn Wind Farm ,Eastern
PV,C__APGEN002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__APGEN009,Common Barn Wind Farm ,Eastern
PV,C__APURE002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__APURE009,Common Barn Wind Farm ,Eastern
PV,C__ARWED002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ARWED009,Common Barn Wind Farm ,Eastern
PV,C__ASMAR002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ASMAR009,Common Barn Wind Farm ,Eastern
PV,C__ASOUT002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ASOUT009,Common Barn Wind Farm ,Eastern
PV,C__ASPOW002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ASPOW009,Common Barn Wind Farm ,Eastern
PV,C__ASTAT002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ASTAT009,Common Barn Wind Farm ,Eastern
PV,C__ASYMB002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ASYMB009,Common Barn Wind Farm ,Eastern
PV,C__ATGPL002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__ATGPL009,Common Barn Wind Farm ,Eastern
PV,C__AUKPR002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AUKPR009,Common Barn Wind Farm ,Eastern
PV,C__AVOLT002,Triangle Farm Solar Park ,Eastern
Wind (Onshore),C__AVOLT009,Common Barn Wind Farm ,Eastern
PV,C__DANGE001,Charity Farm Solar Park ,Merseyside and North Wales
Wind (Onshore),C__DANGE010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DANGE014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DAXPO001,Charity Farm Solar Park ,Merseyside and North Wales
Wind (Onshore),C__DAXPO010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DAXPO014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DCNDL001,Charity Farm Solar Park ,Merseyside and North Wales
Wind (Onshore),C__DCNDL010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DCNDL014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DCNRG001,Charity Farm Solar Park ,Merseyside and North Wales
Wind (Onshore),C__DCNRG010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DCNRG014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DCOOP001,Charity Farm Solar Park ,Merseyside and North Wales
Wind (Onshore),C__DCOOP010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DCOOP014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DCOUL001,Charity Farm Solar Park ,Merseyside and North Wales
Wind (Onshore),C__DCOUL010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DCOUL014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DECOA001,Charity Farm Solar Park ,Merseyside and North Wales
Wind (Onshore),C__DECOA010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DECOA014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DECOT001,Charity Farm Solar Park ,Merseyside and North Wales
Wind (Onshore),C__DECOT010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DECOT014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DEDGE014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DEMEB001,Charity Farm Solar Park ,Merseyside and North Wales
Wind (Onshore),C__DEMEB010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DEMEB014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DENDC001,Charity Farm Solar Park ,Merseyside and North Wales
Wind (Onshore),C__DENDC010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DENDC014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DENRD001,Charity Farm Solar Park ,Merseyside and North Wales
Wind (Onshore),C__DENRD010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DENRD014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DENRG001,Charity Farm Solar Park ,Merseyside and North Wales
Wind (Onshore),C__DENRG010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DENRG014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DEXGL001,Charity Farm Solar Farm ,Merseyside and North Wales
Wind (Onshore),C__DEXGL010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DEXGL014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DFSEN001,Charity Farm Solar Park ,Merseyside and North Wales
Wind (Onshore),C__DFSEN010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DFSEN014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DGANY001,Charity Farm Solar Park ,Merseyside and North Wales
Wind (Onshore),C__DGANY010,Brenig Wind Farm ,Merseyside and North Wales
Wind (Onshore),C__DGANY014,Clocaenog Forest Wind Farm ,Merseyside and North Wales
PV,C__DGMTR001,Charity Farm Solar Park ,Merseyside and North Wales
