Type,BMU,Name,GSP region
IC: Manx,E_MANXENR-1,Manx Power ,North West England
IC: BritNed (Demand),I_EAD-BRTN1,Britned Interconnector (Demand) - National Grid ,South East England
IC: ElecLink (Demand),I_EAD-ELEC1,ElecLink Interconnector (Demand - Error Administrator ,South East England
IC: East/West (Demand),I_EAD-EWIC1,East West Interconnector (Demand) - Error Administrator ,Merseyside and North Wales
IC: IFA (Demand),I_EAD-FRAN1,IFA1 Interconnector (Demand) - National Grid Company (NGC) ,South East England
IC: IFA (Demand),I_EAD-IFA2,IFA2 Interconnector (Demand) - NG ESO ,South East England
IC: Moyle (Demand),I_EAD-MOYL1,Moyle Interconnector (Demand) - National Grid Company (NGC) ,South Scotland
IC: Nemo (Demand),I_EAD-NEMO1,NEMO Interconnector (Demand) - Error Administrator ,South East England
IC: Scottish (Demand),I_EAD-SCOT1,Scottish Interconnector (Demand) - National Grid Company (NGC) ,South Scotland
IC: BritNed (Generation),I_EAG-BRTN1,Britned Interconnector (Generation) - National Grid ,South East England
IC: ElecLink (Generation),I_EAG-ELEC1,ElecLink Interconnector (Generation - Error Administrator ,South East England
IC: East/West (Generation),I_EAG-EWIC1,East West Interconnector (Generation) - Error Administrator ,Merseyside and North Wales
IC: IFA (Generation),I_EAG-FRAN1,IFA1 Interconnector (Generation) - National Grid Company (NGC) ,South East England
IC: IFA (Generation),I_EAG-IFA2,IFA2 Interconnector (Generation) - NG ESO ,South East England
IC: Moyle (Generation),I_EAG-MOYL1,Moyle Interconnector (Generation) - National Grid Company (NGC) ,South Scotland
IC: Nemo (Generation),I_EAG-NEMO1,NEMO Interconnector (Generation) - Error Administrator ,South East England
IC: Scottish (Generation),I_EAG-SCOT1,Scottish Interconnector (Generation) - National Grid Company (NGC) ,South Scotland
IC: Scottish (Generation),I_FROMSCOT,Scottish Interconnector (Generation) - Economy Power ,South Scotland
IC: IFA (Demand),I_I2D-ALEU1,IFA1 Interconnector (Demand) - Alphataraxia Europium BV (ATX),South East England
IC: IFA (Demand),I_I2D-AXPO1,IFA2 Interconnector (Demand) - Axpo Solutions AG ,South East England
IC: IFA (Demand),I_I2D-BKWE1,IFA2 Interconnector (Demand) - BKW Energie AG ,South East England
IC: IFA (Demand),I_I2D-BPGM1,IFA2 Interconnector (Demand) - BP Gas Marketing Limited ,South East England
IC: IFA (Demand),I_I2D-CBST1,IFA2 Interconnector (Demand) - Cobblestone Energy ,South East England
IC: IFA (Demand),I_I2D-CENT1,IFA2 Interconnector (Demand) - Centrica Energy Trading A/S ,South East England
IC: IFA (Demand),I_I2D-CEZC1,IFA2 Interconnector (Demand) - CEZ A/S ,South East England
IC: IFA (Demand),I_I2D-CNGS1,IFA2 Interconnector (Demand) - Cenergise Limited ,South East England
IC: IFA (Demand),I_I2D-CNRE1,IFA2 Interconnector (Demand) - Unknown,South East England
IC: IFA (Demand),I_I2D-CONV1,IFA2 Interconnector (Demand) - Convex Energy GmbH (GEAG),South East England
IC: IFA (Demand),I_I2D-DSKC1,IFA2 Interconnector (Demand) - Danske Commodities A/S ,South East England
IC: IFA (Demand),I_I2D-DUGE1,IFA2 Interconnector (Demand) - DXT Commodities SA ,South East England
IC: IFA (Demand),I_I2D-DVAL1,IFA2 Interconnector (Demand) - EDF TRADING LIMITED (EDFT),South East England
IC: IFA (Demand),I_I2D-EDFT1,IFA2 Interconnector (Demand) - DVALIN ApS (DVALIN),South East England
IC: IFA (Demand),I_I2D-EDMK1,IFA2 Interconnector (Demand) - Energi Danmark A/S ,South East England
IC: IFA (Demand),I_I2D-ELEE1,IFA2 Interconnector (Demand) - Electrabel SA ,South East England
IC: IFA (Demand),I_I2D-ELTR1,IFA2 Interconnector (Demand) - ElectroRoute Energy Trading ,South East England
IC: IFA (Demand),I_I2D-GASE1,IFA2 Interconnector (Demand) - GDF SUEZ Trading (GASELYS),South East England
IC: IFA (Demand),I_I2D-GAZP1,IFA2 Interconnector (Demand) - GAZPROM MARKETING & TRADING LD ,South East England
IC: IFA (Demand),I_I2D-GRMT1,IFA2 Interconnector (Demand) - A/S Global Risk Management Ltd ,South East England
IC: IFA (Demand),I_I2D-IBES1,IFA2 Interconnector (Demand) - IBERDROLA GENERACION ESPANA (IBEGENES),South East England
IC: IFA (Demand),I_I2D-INCM1,IFA2 Interconnector (Demand) - IN COMMODITIES A/S ,South East England
IC: IFA (Demand),I_I2D-MCRA1,IFA2 Interconnector (Demand) - Mercuria Energy Trading SA ,South East England
IC: IFA (Demand),I_I2D-MFTE1,IFA2 Interconnector (Demand) - MFT Energy A/S ,South East England
IC: IFA (Demand),I_I2D-NDPL1,IFA2 Interconnector (Demand) - European Market Coupling ,South East England
IC: IFA (Demand),I_I2D-NEAS1,IFA2 Interconnector (Demand) - NEAS Energy Ltd. (CNDA),South East England
IC: IFA (Demand),I_I2D-NEHO1,IFA2 Interconnector (Demand) - Nordic Energy House ApS ,South East England
IC: IFA (Demand),I_I2D-NTPL1,IFA2 Interconnector (Demand) -  Nvalue AG,South East England
IC: IFA (Demand),I_I2D-NVAL1,IFA2 Interconnector (Demand) - Northpool BV ,South East England
IC: IFA (Demand),I_I2D-OMPX1,IFA2 Interconnector (Demand) - Unknown,South East England
IC: IFA (Demand),I_I2D-OPMX1,IFA2 Interconnector (Demand) - Optimax Energy GmbH ,South East England
IC: IFA (Demand),I_I2D-PWMR1,IFA2 Interconnector (Demand) - PowerMart ApS ,South East England
IC: IFA (Demand),I_I2D-SETL1,IFA2 Interconnector (Demand) - Shell Energy Europe Limited ,South East England
