BMU ID,Name,Type
E_ABRTW-1,Auchrobert Wind Farm,Onshore Wind
E_AIRSW-1,Airies Wind Farm,Onshore Wind
E_ASHWW-1,Andershaw Wind Farm,Onshore Wind
E_ASLVW-1,Assel Valley Wind Farm,Onshore Wind
E_BABAW-1,Baillie Wind Farm,Onshore Wind
E_BETHW-1,Beinn Tharsuinn Wind Farm,Onshore Wind
E_BNWKW-1,Burn of Whilk Wind Farm,Onshore Wind
E_BRDUW-1,Braes of Doune Wind Farm,Onshore Wind
E_BRNLW-1,Brownieleys Wind Farm,Onshore Wind
E_BROXES-1,Broxburn Energy Storage,Battery
E_BRYBW-1,Berry Burn Wind Farm,Onshore Wind
E_BTUIW-2,Beinn An Tuirc 2,Onshore Wind
E_CLAC-1,Clachan G1,Hydro
E_CLDRW-1,Clashindarroch Wind Farm,Onshore Wind
E_CLFLW-1,Clachan Flats,Onshore Wind
E_CNCLW-1,Coire Na Cloiche WF,Onshore Wind
E_CRGTW-1,Craig 2 Wind Farm,Onshore Wind
E_DALSW-1,Dalswinton Windfarm,Onshore Wind
E_FASN-3,Fasnakyle  G3,Hydro
E_FASN-4,Fasnakyle G4,Hydro
E_GDSTW-1,Gordonstown Wind Farm,Onshore Wind
E_GLCHW-1,Glenchamber Wind Farm,Onshore Wind
E_GLNDOD1,Glendoe Hydro Demand,Demand
E_GLOFW-1,Glens of Foudland Wind Farm,Onshore Wind
E_HBHDW-1,Harburn Head Wind Farm,Onshore Wind
E_HLGLW-1,Hill of Glaschyle,Onshore Wind
E_HLTWW-1,Hill of Towie,Onshore Wind
E_HRHLW-1,Hare Hill Wind Farm Extension,Onshore Wind
E_HUNB-11S,Hunterston B 11kV Site Supply,Demand
E_HYWDW-1,Hywind Generator,Offshore Wind
E_KINCW-1,Kincardine Offshore Windfarm,Offshore Wind
E_MARK-1,Rothes Bio-Plant CHP1,CHP
E_MINSW-1,Minsca Wind Farm,Onshore Wind
E_MOYEW-1,Moy Windfarm,Onshore Wind
E_TLYMW-1,Tullymurdoch Wind Farm,Onshore Wind
E_TULWW-1,Tullo Windfarm,Onshore Wind
E_TULWW-2,Tullo Extension,Onshore Wind
M_CAS-BEU01,Beauly Cascade,Hydro
M_CAS-CLU01,Clunie Cascade,Hydro
M_CAS-CON01,Conon Cascade,Hydro
M_CAS-GAR01,Garry Cascade,Hydro
M_CAS-KIL01,Killin Cascade,Hydro
M_CAS-MOR01,Moriston Cascade,Hydro
M_SLOY-1,Sloy G1,Hydro
M_SLOY-4,Sloy G4,Hydro
T_ABRBO-1,Aberdeen Wind Farm,Offshore Wind
T_ACHRW-1,AChruach Wind Farm,Onshore Wind
T_AFTOW-1,Afton Wind Farm,Onshore Wind
T_AKGLD-2,Aikengall II Wind Farm Demand,Demand
T_AKGLW-2,Aikengall II Wind Farm,Onshore Wind
T_ANSUW-1,An Suidhe  Wind Farm,Onshore Wind
T_ARCHW-1,Arecleoch,Onshore Wind
T_BDCHW-1,Bad a Cheo Wind Farm,Onshore Wind
T_BEATD-1,Beatrice Offshore WF Demand,Demand
T_BEATO-1,Beatrice Offshore WF 1,Offshore Wind
T_BEATO-2,Beatrice Offshore WF 2,Offshore Wind
T_BEATO-3,Beatrice Offshore WF 3,Offshore Wind
T_BEATO-4,Beatrice Offshore WF 4,Offshore Wind
T_BEINW-1,Beinneun Wind farm,Onshore Wind
T_BHLAW-1,Bhlaraidh Windfarm 1,Onshore Wind
T_BLKWW-1,Blackcraig Windfarm,Onshore Wind
T_BLLA-1,Black Law Windfarm,Onshore Wind
T_BLLA-2,Black Law Windfarm Extension,Onshore Wind
T_BPGRD-1,Grangemouth Demand 1,Demand
T_BPGRD-2,Grangemouth Demand 1,Demand
T_CGTHW-1,Corriegarth Wind Farm,Onshore Wind
T_CLACD-1,Clachan Station Demand,Demand
T_CLDCW-1,Clyde Central,Onshore Wind
T_CLDNW-1,Clyde North,Onshore Wind
T_CLDSW-1,Clyde South,Onshore Wind
T_COCK-1,Cockenzie 1,Coal
T_COCK-2,Cockenzie 2,Coal
