BM Unit ID,BMU Name,Party Name,Party ID,BMU Type,Generator Fuel Type,NGC BMU Name,GSP Group Id,GSP Group Name,Trading Unit Name,Prod/Cons Flag,Prod/Cons Status,TLF,GC,DC,WDCALF,NWDCALF,SECALF,WDBMCAIC,NWDBMCAIC,WDBMCAEC,NWDBMCAEC,Exempt Export Flag,Base TU Flag,FPN Flag,Interconnector Id,Effective From, Manual Credit Qualifying Flag, Credit Qualifying Status
2__AALAB000,ALAB_A,ALABAMA ENERGY LIMITED,ALAB,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__AALAS000,ALAS_A,ALASKA ENERGY LIMITED,ALAS,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__AALBU000,ALBU_A,ALBUQUERQUE ENERGY LIMITED,ALBU,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__AALTI000,2__AALTI000,Co-operative Energy Limited,VOLA,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,-3.4614,0.3794,0.4254,0.25,-1.313,-1.472,0,0,F,T,F,,01/12/18,,F
2__AANGE000,2__AANGE000,Limejump Energy Limited,ANGEL,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,72.6,-16.2,0.1189,0.1155,0.1179,-1.926,-1.871,8.632,8.385,F,T,F,,01/12/18,,F
2__AANGE001,2__AANGE001,Limejump Energy Limited,ANGEL,S,,AG-ALIM02,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,80,-8,0.4769,0.4461,0.25,-3.815,-3.569,38.152,35.688,F,T,T,,01/12/18,F,F
2__AARIZ000,ARIZ_A,Simplicity Energy Limited,ARIZ,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,-2,0.4769,0.4461,0.25,-0.954,-0.892,0,0,F,T,F,,01/12/18,,F
2__AARRU000,2__AARRU000,Arruzzi Energy Supply Ltd,ARRUZZI,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__AAVRO000,AVRO_A,AVRO ENERGY LIMITED,AVRO,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,-15.4,0.4408,0.4691,0.25,-6.788,-7.224,0,0,F,T,F,,01/12/18,,F
2__AAXIS000,2__AAXIS000,Axis Telecom Ltd,AXISTELE,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4535,0.3674,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__AAXPO000,2__AAXPO000,AXPO UK LIMITED,EGLUK,G,,EAS-AXPO1,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,55,-5,0.3565,0.3827,0.25,-1.783,-1.914,19.608,21.049,F,T,F,,01/12/18,,F
2__AAZAC000,2__AAZAC000,TOGETHER ENERGY SUPPLY LIMITED,AZACCA,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,-0.2,0.3925,0.4307,0.25,-0.079,-0.086,0,0,F,T,F,,01/12/18,,F
2__ABARB000,2__ABARB000,Barbican Power Limited,BARBICAN,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ABAYS000,2__ABAYS000,Bayswater Energy Limited,BAYSWATE,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ABCFC000,2__ABCFC000,Octopus Energy Limited,MERCURY,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4129,0.4414,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ABETH000,2__ABETH000,Mongoose Energy Supply Limited,BETHNAL,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ABGAS000,2__ABGAS000,British Gas Trading Ltd,BRITGAS,G,,EAS-BGS01,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,-656,0.5288,0.5669,0.25,-346.893,-371.886,0,0,F,T,T,,01/12/18,,F
2__ABIZZ000,2__ABIZZ000,British Gas Trading Ltd,BRITGAS,G,,EAS-BIZ01,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,-4,0.3688,0.292,0.25,-1.475,-1.168,0,0,F,T,F,,01/12/18,,F
2__ABLBL000,2__ABLBL000,Bluebell Energy Supply Ltd,BLUEBELL,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ABNRG000,2__ABNRG000,Electricity Plus Supply Ltd,BAENERGY,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,-63.384,0.5719,0.5987,0.25,-36.249,-37.948,0,0,F,T,F,,24/01/19,,F
2__ABORE000,2__ABORE000,Zebra Power Limited,BOR,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,-0.07,0.421,0.4473,0.25,-0.029,-0.031,0,0,F,T,F,,01/12/18,,F
2__ABREZ000,2__ABREZ000,Breeze Energy Supply Ltd,BREEZE,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,3.636,-1.8,0.1856,0.1913,0.25,-0.334,-0.344,0.675,0.696,F,T,F,,01/12/18,,F
2__ABRZE000,2__ABRZE000,arto.energy Ltd,BRONZE,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ABULN000,2__ABULN000,Bryt Energy Limited,BULLION,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,-13.4,0.6791,0.2554,0.25,-9.1,-3.422,0,0,F,T,F,,01/12/18,,F
2__ACALI000,2__ACALI000,Callesti Energy Supply Limited,CALLESTI,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ACALL000,2__ACALL000,SP Energy Retail Ltd,SPSUP01,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,-24,0.5995,0.5673,0.25,-14.388,-13.615,0,0,F,T,F,,01/12/18,,F
2__ACBRA000,2__ACBRA000,Cabra Energy Supply Ltd,CABRA,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ACFWR000,2__ACFWR000,Eddington Energy Supply Ltd,EDDINGTN,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,1.598,-0.542,0.4013,0.4204,0.25,-0.218,-0.228,0.641,0.672,F,T,F,,14/12/18,,F
2__ACILI000,2__ACILI000,Cilleni Energy Supply Limited,CILLENI,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ACIRC000,2__ACIRC000,Flow Energy Ltd,CIRCUIT,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,-28.024,0.6219,0.6577,0.25,-17.428,-18.431,0,0,F,T,F,,01/12/18,,F
2__ACIRC001,FLOWHH_A1,Flow Energy Ltd,CIRCUIT,S,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,F,F
2__ACMRO000,2__ACMRO000,Camaro Energy Supply Ltd,CAMARO,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ACNDL000,2__ACNDL000,NEAS Energy Ltd.,CNDA,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,1280,0,0.0559,0.0639,0.0582,0,0,74.496,74.496,F,T,F,,01/12/18,,F
2__ACNRG000,2__ACNRG000,Opus Energy (Corporate) Ltd,CHENERGY,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,-58.22,0.6125,0.4979,0.25,-35.66,-28.988,0,0,F,T,F,,24/12/18,,F
2__ACOLG000,2__ACOLG000,Colgano Energy Supply Limited,COLGANO,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ACOLO000,COLO_A,COLORADO ENERGY LIMITED,COLO,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ACOMT000,2__ACOMT000,ENSTROGA Ltd,COMT1015,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,-0.69,0.4612,0.4993,0.25,-0.318,-0.345,0,0,F,T,F,,01/12/18,,F
2__ACOOP000,2__ACOOP000,I Supply Energy Limited,COOP,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,-18.28,0.5736,0.6072,0.25,-10.485,-11.1,0,0,F,T,F,,01/12/18,,F
2__ACORE000,2__ACORE000,Corona Energy Retail 4 Limited,SUPELEC3,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__ACOUL000,2__ACOUL000,Coulomb Energy Supply Limited,COULOMB,G,,,_A,Eastern GSP Group,DEFAULT__A,,C,0.0084231,0,0,0.4769,0.4461,0.25,0,0,0,0,F,T,F,,01/12/18,,F
